Id,Date,Location,Text
1,2030,Mexico,México será el noveno país con el mayor número de habitantes en el mundo.
2,2030,Mexico,Cada 100 delitos cometidos por lo menos 70 terminarán en una resolución satisfactoria para la víctima.
3,2030,Mexico,Se cometerán menos de 5 homicidios por cada 100 mil habitantes.
4,2030,Mexico,Habrá menos de 40 robos con violencia por cada 100 mil habitantes.
5,2030,Mexico,El ingreso promedio de las mujeres será igual al de los hombres o representará al menos el 80% del ingreso de éstos.
6,2030,Mexico,El 90% de la población de 18 años o más se sentirá segura.
7,2030,Mexico,Reduce la tasa de mortalidad materna a menos de 10 defunciones por cada 100 mil nacimientos vivos.
8,2030,Mexico,Ningún estado de la república tendrá un nivel de pobreza patrimonial más de 10 puntos porcentuales superior al promedio nacional.
9,2030,Mexico,Alcanza un nivel de escolaridad promedio de 15 años.
10,2030,Mexico,Se logrará una calificación en el examen PISA en las pruebas de matemáticas y comprensión de lectura similar a la media de los países de la OCDE.
11,2030,Mexico,La esperanza de vida al nacer será de 80 años.
12,2030,Mexico,La tasa de mortalidad infantil bajará a menos de 8 defunciones de niños menores de 5 años por cada mil nacidos vivos.
13,2030,Mexico,El país pasará de contar con 384 ciudades a 961 en 2030
14,2030,Mexico,83.2% de la población nacional se concentrará en las ciudades
15,2030,Mexico,En 2030 la población pobre será la que predominará en las ciudades
16,2030,Mexico,La tasa de fecundidad bajará a 2 hijos por mujer
17,2030,Mexico,Inmigrantes en Ciudad de México llegarán a los 75 mil
18,2030,Mexico,Emigrantes de Ciudad de México pasarán los 100 mil
19,2030,Mexico,En 2030 México rebasará a Rusia con 137 millones de habitantes.
20,2030,Mexico,Inmigrantes en Estado de México llegarán a 150 mil
21,2030,Mexico,Emigrantes en Estado de México bajará a 125 mil
22,2030,Mexico,La población de 0-14 años en la Ciudad de México será de poco menos de 4 millones
23,2030,Mexico,La poblacion de 15-29 años en la Ciudad de México será de 4 millones
24,2030,Mexico,La poblacion de 30-44 años en la Ciudad de México será de 4 millones
25,2030,Mexico,La poblacion de 45-64 años en la Ciudad de México será de 5 millones
26,2030,Mexico,La poblacion de 65 años o más en la Ciudad de México será de 3 millones
27,2030,Mexico,Población región norte tendrá aproximadamenteimadamente 40 millones de habitantes.
28,2030,Mexico,"Se contará con mecanismos de comercialización de alimentos a nivel local que satisfagan las necesidades
alimentarias de la población, en todas las localidades del país"
29,2030,Mexico,La población región centro tendrá aproximadamenteimadamente 80 millones de habitantes
30,2030,Mexico,Población región sur aproximadamenteimadamente 20 millones de habitantes
31,2030,Mexico,"Se reducirá en un tercio la mortalidad prematura por enfermedades no transmisibles mediante su prevención y tratamiento, y promover la salud mental y el bienestar"
32,2030,Mexico,"Todas las personas, en particular aquellas en estado de pobreza y vulnerabilidad, ejercerán plenamente sus Derechos Económicos, Sociales, Culturales y Ambientales (DESCA)"
33,2030,Mexico,"Se pondrán en práctica a nivel federal y estatal sistemas y medidas de protección social donde se integrarán criterios de inclusión, priorizando a quienes se encuentran en condición de pobreza y vulnerabilidad"
34,2030,Mexico,"Se garantizará la seguridad alimentaria para todas y todos, especialmente para las personas en situación de pobreza y vulnerabilidad."
35,2030,Mexico,Se logrará el desarrollo del campo por medio de la producción sostenible de alimentos.
36,2030,Mexico,"Se disminuirá por lo menos en 30% el consumo y abuso de alcohol y sustancias psicoactivas nocivas para la salud, especialmente en población infantil y juvenil."
37,2030,Mexico,"Se asegurará que todas las niñas, niños, adolescentes y jóvenes tengan acceso a una educación para la salud."
38,2030,Mexico,"Crecimiento total de la población: 859,637"
39,2030,Mexico,"Las defunciones llegarán a 936,086 personas en 2030"
40,2030,Mexico,Esperanza de vida al nacimiento de hombres 73.79
41,2030,Mexico,Esperanza de vida al nacimiento de mujeres 79.61
42,2030,Mexico,"Cantidad de Hombres en México en el 2030: 67,496,667 "
43,2030,Mexico,"Cantidad de Mujeres 70,573,604"
44,2030,Mexico,Tasa específica de fecundidad adolescente : 62.24
45,2030,Mexico,Tasa de mortalidad infantil : 9.37
46,2030,Mexico,Tasa de mortalidad infantil hombres 10.34
47,2030,Mexico,Tasa de mortalidad infantil mujeres* : 8.35
48,2030,Mexico,"Inmigrantes internacionales : 143,923"
49,2030,Mexico,Tasa bruta de mortalidad : 6.78
50,2030,Mexico,Tasa bruta de natalidad : 14.38
51,2030,Mexico,El sistema nacional de pensiones entrará en fase de crisis en 2025
52,2030,Mexico,Se pondrá fin al trabajo infantil en todas sus formas
53,2030,Mexico,El 40% de los adultos en México sufrirán de obesidad
54,2030,Mexico,La tasa de mortalidad por diabetes llegará a 119.5
55,2030,Mexico,"Habrá más defunciones que nacimientos, aunque la tasa de natalidad seguirá aumentando la población"
56,2030,Mexico,Se va a potenciar el uso de herramientas digitales en la educación para incrementar el acceso al conocimiento y al aprendizaje industrial
57,2030,Mexico,Se fomentará la cultura emprendedora y se ampliará el financiamiento a la educación superir para contribuir al desarrollo del talento de los jóvenes mexicanos
58,2030,Mexico,Se proyecta que los jóvenes dejarán de ser el grupo demográfico dominante
59,2030,Mexico,Los grupos de personas en edad de trabajar alcanzarán su mayor tamaño en 2031 en el caso de las de 20 a 39 años
60,2030,Mexico,"En 2030, México ocupará 7º lugar mundial en diabetes"
61,2030,Mexico,Las urbes van a concentrar 15% del PIB global para 2030; la Ciudad de México tendrá más de 24 millones de habitantes
62,2030,Mexico,La Ciudad de México será la octava megaciudad más poblada del mundo para 2030
63,2030,Mexico,En 2030 México consumirá 88% más de carne de res
64,2030,Mexico,En México se consumirá 72% más de productos lácteos
65,2030,Mexico,En México se consumirá 170% más de pollo.
66,2030,Mexico,"Para 2030, la totalidad de los servicios de salud estarán subrogados a la iniciativa privada"
67,2030,Mexico,"Habrán desaparecido el IMSS, el ISSSTE y la red hospitalaria de Pemex"
68,2030,Mexico,"El sector privado controlará la educación, y la cultura se someterá a un “tratado de libre comercio artístico”."
69,2030,Mexico,20.33% de los mexicanos vivirán en una megaciudad
70,2030,Mexico,20.58% de la poablación vivirá en grandes ciudades
71,2030,Mexico,11.88% de los mexicanos residirán en ciudades intermedias
72,2030,Mexico,5.82% de la población habitará en pequeñas ciudades
73,2030,Mexico,16.79% de los mexicanos vivirá en centros urbanos.
74,2030,Mexico,"los asentamientos humanos ilegales / informales / irregulares, tenderán a expandirse por la falta de oferta de suelo habitacional bien localizado, considerando que las mejores localizaciones periurbanas serán acaparadas por el mercado formal inmobiliario."
75,2030,Mexico,78% de la población total en México habitará en zonas metropolitanas (56.8 millones de personas)
76,2030,Mexico,Se espera optimizar y asegurar una adecuada ejecución de los procesos de averiguación de la mayor parte de las personas que tienen algún contacto formal con los cuerpos de seguridad
77,2030,Mexico,Se espera aumentar la cantidad de jueces en el sistema de justicia
78,2030,Mexico,Se espera incrementar la presencia disuasiva de policías en las carreteras
79,2030,Mexico,"Para el año 2030, se prevé que las tres cuartas partes de la población del mundo en desarrollo vivirán en países en los que menos del 5 por ciento de la población padecerá desnutrición"
80,2030,Mexico,La incidencia de la desnutrición debe descender a sólo el 6 por ciento en 2030
81,2030,Mexico,Se espera que el futuro consumo per cápita de oleaginosas aumente con mayor rapidez que el de cereales. Estos cultivos representarán 45 de cada 100 calorías adicionales sumadas a las dietas medias de los países en desarrollo entre hoy y 2030
82,2030,Mexico,"_Para el año 2030 el perfil cultural de los mexicanos se verá influido por los procesos de descentralización en especial dentro de la educación, el cuál hoy es un problema importante en el país."
83,2030,Mexico,"Debido a la rápida producción de información, casi 50 % del conocimiento temático que se estudia en el primer año de una carrera técnica de cuatro años será obsoleto para cuando la persona se gradúe."
84,2030,Mexico,"En 2030, América Latina y el Caribe seguirá siendo una de las regiones más urbanizadas del mundo. "
85,2030,Mexico,la mayor parte de la región seguirá experimentando un dividendo demográfico en 2030 debido a que el ratio de trabajadores en relación con los dependientes (aquellas personas que son demasiado jóvenes o demasiado viejas para trabajar) seguirá siendo positivo. 
86,2030,Mexico,"Por el desempleo en México, elevaría la emigración anual en 2030 a 503,000 al año a Estados Unidos"
87,2030,Mexico, en el mismo lapso la población aumenta en 26.5 millones de personas
88,2030,Mexico,La tasa de natalidad disminuye pero la población sigue creciendo a 0.8% anual ya que aumenta la exp e c t a t iva de vida
89,2030,Mexico,"En el plano demográfico, resultado de la solidez económica del país, de las mejoras en la educación, de la calidad de los servicios médicos y de la mayo r participación de la mujer en actividades productiva s f u e ra del hogar, la población crece con una tasa de 0.5% anual, lo que significa un incremento de cerc a de 600 mil personas por año de 2000 al 2030"
90,2030,Mexico,"En el sector salud, se mejora la atención a enfermedades crónicas, se amplían los sistemas de medicina p r e ve n t iva y se implementan medidas integrales para controlar y revertir la diseminación de enfermedades contagiosas y de alto riesgo"
91,2030,Mexico,Las mejoras en la calidad del ambiente traerá consigo un aumento en la expectativa de vida
92,2030,Mexico,En 2030 toda la población mayor de 18 años tiene al menos educación media superior y la mitad de quienes están entre 19 y 23 años de edad están cursando o han terminado el ciclo de educación superior. 
93,2030,Mexico,"la población crece con una tasa de 0.5% anual, lo que significa un incremento de cerc a de 600 mil personas por año de 2000 al 2030 "
